name,score,price,url,battery_size,max_dc_charge,miles_per_kwh,range,MilesPerDollar,RangePerKWh,ScoreBucket
Leapmotor T03 Review,8,15995,https://www.electrifying.com/reviews/leapmotor/t03/,37,45,4.1,165,0.01031572366364489,4.45945945945946,7-8
Audi Q6 e-tron Review,7,59975,https://www.electrifying.com/reviews/audi-reviews/q6-e-tron-2/,94,270,3.9,392,0.00653605669028762,4.170212765957447,7-8
B-On Pelkan Review,6,30000,https://www.electrifying.com/reviews/b-on/Pelkan/,48,100,4.1,173,0.0057666666666666665,3.6041666666666665,5-6
Kia EV6 Review,9,45575,https://www.electrifying.com/reviews/kia/ev6/,84,260,4.2,361,0.007921009325287987,4.2976190476190474,9-10
Volkswagen ID.7 Tourer Review,8,52240,https://www.electrifying.com/reviews/volkswagen-reviews/id-7-tourer/,81,187,4.1,424,0.008116385911179172,5.234567901234568,7-8
Ford e-Transit Custom Review,8,43380,https://www.electrifying.com/reviews/ford-reviews/e-transit-custom/,64,125,4.1,209,0.004817888427846934,3.265625,7-8
Mercedes-Benz eCitan Review,7,37200,https://www.electrifying.com/reviews/mercedes-reviews/ecitan/,45,80,4.1,186,0.005,4.133333333333334,7-8
Maxus eDeliver 3 Review,7,34000,https://www.electrifying.com/reviews/maxus/edeliver-3/,42,50,4.1,151,0.004441176470588236,3.5952380952380953,7-8
Nissan Townstar EV Review,7,33995,https://www.electrifying.com/reviews/nissan-reviews/townstar/,45,80,4.1,186,0.005471392851889984,4.133333333333334,7-8
Maxus eDeliver 9 Review,7,66000,https://www.electrifying.com/reviews/ford-reviews/e-transit-1/,70,80,4.1,219,0.003318181818181818,3.1285714285714286,7-8
Volvo EX90 Review,8,96225,https://www.electrifying.com/reviews/volvo-reviews/ex90/,107,250,2.9,374,0.0038867238243699663,3.4953271028037385,7-8
Audi Q4 e-tron Review,7,51965,https://www.electrifying.com/reviews/audi/q4-e-tron/,77,175,4.1,342,0.006581352833638025,4.441558441558442,7-8
Dacia Spring Review,7,14995,https://www.electrifying.com/reviews/dacia/spring/,27,30,5.2,137,0.009136378792930977,5.074074074074074,7-8
Ford Capri Review,7,48075,https://www.electrifying.com/reviews/ford-reviews/capri/,65,185,4.1,389,0.008091523660946438,5.984615384615385,7-8
Polestar 4 Review,7,59990,https://www.electrifying.com/reviews/polestar-reviews/4/,94,151,4.1,379,0.006317719619936656,4.031914893617022,7-8
Peugeot E-5008 Review,9,48000,https://www.electrifying.com/reviews/peugeot-reviews/e-5008/,85,160,3.9,311,0.006479166666666667,3.6588235294117646,9-10
Hyundai INSTER Review,9,23495,https://www.electrifying.com/reviews/hyundai-reviews/inster/,45,85,4.3,229,0.009746754628644392,5.088888888888889,9-10
Citroen e-C3 Aircross Review,8,22990,https://www.electrifying.com/long-term-reviews/citroen-reviews/e-c3-aircross/,47,100,4.8,188,0.008177468464549805,4.0,7-8
